,,AtmosphericPressure,WindDirection,WindSpeed,Gust,WaveHeight,WavePeriod,MeanWaveDirection,Hmax,AirTemperature,DewPoint,SeaTemperature,RelativeHumidity
,,avail,avail,avail,avail,avail,avail,avail,avail,avail,avail,avail,avail
station_id,Date,,,,,,,,,,,,
Belmullet-AMETS,2011-07-31,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
Belmullet-AMETS,2011-08-01,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
Belmullet-AMETS,2011-08-02,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,0.0,87.5,87.5
Belmullet-AMETS,2011-08-03,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
Belmullet-AMETS,2011-08-04,95.8333333333,95.8333333333,95.8333333333,95.8333333333,95.8333333333,95.8333333333,95.8333333333,95.8333333333,95.8333333333,0.0,95.8333333333,95.8333333333
Belmullet-AMETS,2011-08-05,83.3333333333,83.3333333333,83.3333333333,83.3333333333,83.3333333333,83.3333333333,83.3333333333,83.3333333333,83.3333333333,0.0,83.3333333333,83.3333333333
Belmullet-AMETS,2011-08-06,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
Belmullet-AMETS,2011-08-07,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
Belmullet-AMETS,2011-08-08,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
Belmullet-AMETS,2011-08-09,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
Belmullet-AMETS,2011-08-10,70.8333333333,70.8333333333,70.8333333333,70.8333333333,70.8333333333,70.8333333333,70.8333333333,70.8333333333,70.8333333333,0.0,70.8333333333,70.8333333333
FS1,2003-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FS1,2003-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FS1,2003-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FS1,2003-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FS1,2003-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FS1,2003-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FS1,2003-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FS1,2003-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FS1,2003-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FS1,2003-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FS1,2003-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FS1,2003-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FS1,2003-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FS1,2003-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FS1,2003-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FS1,2003-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FS1,2003-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FS1,2003-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FS1,2003-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FS1,2003-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FS1,2003-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FS1,2003-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FS1,2003-01-23,45.8333333333,45.8333333333,45.8333333333,0.0,45.8333333333,45.8333333333,0.0,0.0,45.8333333333,0.0,0.0,0.0
FS1,2003-01-24,100.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0
FS1,2003-01-25,91.6666666667,91.6666666667,91.6666666667,0.0,91.6666666667,91.6666666667,0.0,0.0,91.6666666667,0.0,0.0,0.0
FS1,2003-01-26,91.6666666667,91.6666666667,87.5,0.0,91.6666666667,91.6666666667,0.0,0.0,91.6666666667,0.0,0.0,0.0
FS1,2003-01-27,95.8333333333,95.8333333333,95.8333333333,0.0,95.8333333333,95.8333333333,0.0,0.0,95.8333333333,0.0,0.0,0.0
FS1,2003-01-28,100.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0
FS1,2003-01-29,91.6666666667,87.5,87.5,0.0,91.6666666667,91.6666666667,0.0,0.0,91.6666666667,0.0,0.0,0.0
FS1,2003-01-30,70.8333333333,70.8333333333,70.8333333333,0.0,70.8333333333,70.8333333333,0.0,0.0,70.8333333333,0.0,0.0,0.0
FS1,2003-01-31,100.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0
FS1,2003-02-01,79.1666666667,79.1666666667,79.1666666667,0.0,79.1666666667,79.1666666667,0.0,0.0,79.1666666667,0.0,0.0,0.0
FS1,2003-02-02,95.8333333333,95.8333333333,95.8333333333,0.0,95.8333333333,95.8333333333,0.0,0.0,95.8333333333,0.0,0.0,0.0
FS1,2003-02-03,87.5,87.5,87.5,0.0,87.5,87.5,0.0,0.0,87.5,0.0,0.0,0.0
FS1,2003-02-04,91.6666666667,91.6666666667,91.6666666667,0.0,91.6666666667,91.6666666667,0.0,0.0,91.6666666667,0.0,0.0,0.0
FS1,2003-02-05,87.5,87.5,87.5,0.0,87.5,87.5,0.0,0.0,87.5,0.0,0.0,0.0
FS1,2003-02-06,95.8333333333,95.8333333333,95.8333333333,0.0,95.8333333333,95.8333333333,0.0,0.0,95.8333333333,0.0,0.0,0.0
FS1,2003-02-07,95.8333333333,95.8333333333,95.8333333333,0.0,95.8333333333,95.8333333333,0.0,0.0,95.8333333333,0.0,0.0,0.0
FS1,2003-02-08,95.8333333333,95.8333333333,95.8333333333,0.0,95.8333333333,95.8333333333,0.0,0.0,95.8333333333,0.0,0.0,0.0
FS1,2003-02-09,95.8333333333,87.5,87.5,0.0,95.8333333333,95.8333333333,0.0,0.0,95.8333333333,0.0,0.0,0.0
FS1,2003-02-10,83.3333333333,83.3333333333,83.3333333333,0.0,83.3333333333,83.3333333333,0.0,0.0,83.3333333333,0.0,0.0,0.0
FS1,2003-02-11,83.3333333333,83.3333333333,83.3333333333,0.0,79.1666666667,79.1666666667,0.0,0.0,83.3333333333,0.0,0.0,0.0
FS1,2003-02-12,91.6666666667,91.6666666667,91.6666666667,0.0,91.6666666667,91.6666666667,0.0,0.0,91.6666666667,0.0,0.0,0.0
FS1,2003-02-13,95.8333333333,95.8333333333,95.8333333333,0.0,95.8333333333,95.8333333333,0.0,0.0,95.8333333333,0.0,0.0,0.0
FS1,2003-02-14,91.6666666667,91.6666666667,91.6666666667,0.0,91.6666666667,91.6666666667,0.0,0.0,91.6666666667,0.0,0.0,0.0
FS1,2003-02-15,83.3333333333,83.3333333333,83.3333333333,0.0,83.3333333333,83.3333333333,0.0,0.0,83.3333333333,0.0,0.0,0.0
FS1,2003-02-16,79.1666666667,79.1666666667,79.1666666667,0.0,79.1666666667,79.1666666667,0.0,0.0,79.1666666667,0.0,0.0,0.0
FS1,2003-02-17,91.6666666667,91.6666666667,91.6666666667,16.6666666667,91.6666666667,91.6666666667,0.0,0.0,91.6666666667,0.0,0.0,0.0
FS1,2003-02-18,87.5,83.3333333333,83.3333333333,79.1666666667,87.5,87.5,0.0,0.0,87.5,0.0,0.0,0.0
FS1,2003-02-19,95.8333333333,95.8333333333,95.8333333333,4.16666666667,95.8333333333,95.8333333333,0.0,0.0,95.8333333333,0.0,0.0,0.0
FS1,2003-02-20,87.5,87.5,87.5,0.0,87.5,87.5,0.0,0.0,87.5,0.0,0.0,0.0
FS1,2003-02-21,87.5,87.5,87.5,0.0,87.5,87.5,0.0,0.0,87.5,0.0,0.0,0.0
FS1,2003-02-22,95.8333333333,91.6666666667,91.6666666667,45.8333333333,95.8333333333,95.8333333333,0.0,0.0,95.8333333333,0.0,0.0,0.0
FS1,2003-02-23,91.6666666667,91.6666666667,91.6666666667,0.0,91.6666666667,91.6666666667,0.0,0.0,91.6666666667,0.0,0.0,0.0
FS1,2003-02-24,87.5,87.5,87.5,16.6666666667,87.5,87.5,0.0,0.0,87.5,0.0,0.0,0.0
FS1,2003-02-25,87.5,87.5,87.5,0.0,87.5,87.5,0.0,0.0,87.5,0.0,0.0,0.0
FS1,2003-02-26,91.6666666667,91.6666666667,91.6666666667,0.0,91.6666666667,91.6666666667,0.0,0.0,91.6666666667,0.0,0.0,0.0
FS1,2003-02-27,87.5,87.5,87.5,0.0,87.5,87.5,0.0,0.0,87.5,0.0,0.0,0.0
FS1,2003-02-28,87.5,87.5,87.5,4.16666666667,87.5,87.5,0.0,0.0,83.3333333333,0.0,0.0,0.0
